,FIPS,year,state,state_po,county,candidatevotes,candidate,party,totalvotes,state_po
867,8065.0,2008,Colorado,CO,Lake,1859.0,Barack Obama,democrat,3002,CO
870,8067.0,2008,Colorado,CO,La Plata,16057.0,Barack Obama,democrat,27979,CO
873,8069.0,2008,Colorado,CO,Larimer,89822.0,Barack Obama,democrat,166373,CO
876,8071.0,2008,Colorado,CO,Las Animas,3562.0,Barack Obama,democrat,6761,CO
880,8073.0,2008,Colorado,CO,Lincoln,1717.0,John McCain,republican,2304,CO
883,8075.0,2008,Colorado,CO,Logan,6002.0,John McCain,republican,8977,CO
886,8077.0,2008,Colorado,CO,Mesa,44578.0,John McCain,republican,69631,CO
889,8079.0,2008,Colorado,CO,Mineral,334.0,John McCain,republican,623,CO
892,8081.0,2008,Colorado,CO,Moffat,4135.0,John McCain,republican,5871,CO
895,8083.0,2008,Colorado,CO,Montezuma,6961.0,John McCain,republican,11825,CO
898,8085.0,2008,Colorado,CO,Montrose,12199.0,John McCain,republican,19153,CO
901,8087.0,2008,Colorado,CO,Morgan,6272.0,John McCain,republican,10234,CO
904,8089.0,2008,Colorado,CO,Otero,4393.0,John McCain,republican,8064,CO
906,8091.0,2008,Colorado,CO,Ouray,1636.0,Barack Obama,democrat,3060,CO
910,8093.0,2008,Colorado,CO,Park,4896.0,John McCain,republican,9383,CO
913,8095.0,2008,Colorado,CO,Phillips,1612.0,John McCain,republican,2260,CO
915,8097.0,2008,Colorado,CO,Pitkin,7349.0,Barack Obama,democrat,9966,CO
919,8099.0,2008,Colorado,CO,Prowers,3043.0,John McCain,republican,4615,CO
921,8101.0,2008,Colorado,CO,Pueblo,41097.0,Barack Obama,democrat,72427,CO
925,8103.0,2008,Colorado,CO,Rio Blanco,2437.0,John McCain,republican,3147,CO
928,8105.0,2008,Colorado,CO,Rio Grande,2930.0,John McCain,republican,5444,CO
930,8107.0,2008,Colorado,CO,Routt,8270.0,Barack Obama,democrat,13199,CO
933,8109.0,2008,Colorado,CO,Saguache,1730.0,Barack Obama,democrat,2747,CO
936,8111.0,2008,Colorado,CO,San Juan,264.0,Barack Obama,democrat,496,CO
939,8113.0,2008,Colorado,CO,San Miguel,3349.0,Barack Obama,democrat,4350,CO
943,8115.0,2008,Colorado,CO,Sedgwick,857.0,John McCain,republican,1351,CO
945,8117.0,2008,Colorado,CO,Summit,9802.0,Barack Obama,democrat,14899,CO
949,8119.0,2008,Colorado,CO,Teller,8146.0,John McCain,republican,12906,CO
952,8121.0,2008,Colorado,CO,Washington,1949.0,John McCain,republican,2513,CO
955,8123.0,2008,Colorado,CO,Weld,56526.0,John McCain,republican,105866,CO
958,8125.0,2008,Colorado,CO,Yuma,3286.0,John McCain,republican,4483,CO
960,9001.0,2008,Connecticut,CT,Fairfield,241320.0,Barack Obama,democrat,411096,CT
963,9003.0,2008,Connecticut,CT,Hartford,268301.0,Barack Obama,democrat,411785,CT
